date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:03:46	295/295	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20May%202024%2019:03:45%20GMT	http://localhost/robots.txt		(from )
21:03:48	94248/94248	---MC-	200	added ('OK')	text/html	date:Wed,%2022%20May%202024%2019:03:46%20GMT	http://localhost/Fotoclick2001/	C:/My%20Web%20Sites/Fotoclick/localhost/Fotoclick2001/index.html	(from )
21:03:48	118945/118945	---M--	200	added ('OK')	text/css	etag:%221d0a1-6190e9f4c23af%22	http://localhost/Fotoclick2001/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.21.7	C:/My%20Web%20Sites/Fotoclick/localhost/Fotoclick2001/wp-content/plugins/elementor/assets/css/frontend-lite.min4ecf.css	(from http://localhost/Fotoclick2001/)
21:03:50	3762/3762	---M--	200	added ('OK')	text/css	etag:%22eb2-6190f93e2e4c0%22	http://localhost/Fotoclick2001/wp-content/uploads/elementor/css/post-478.css?ver=1716404556	C:/My%20Web%20Sites/Fotoclick/localhost/Fotoclick2001/wp-content/uploads/elementor/css/post-47875cb.css	(from http://localhost/Fotoclick2001/)
21:03:51	102217/102217	---M--	200	added ('OK')	text/css	etag:%2218f49-6190e9c7533f2%22	http://localhost/Fotoclick2001/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.min.css?ver=6.4.2	C:/My%20Web%20Sites/Fotoclick/localhost/Fotoclick2001/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.min1e39.css	(from http://localhost/Fotoclick2001/)
21:03:52	1720/1720	---M--	200	added ('OK')	application/rss+xml	etag:%22ed7ec956e2416b5df45970f54d483922%22	http://localhost/Fotoclick2001/comments/feed/	C:/My%20Web%20Sites/Fotoclick/localhost/Fotoclick2001/comments/feed/index.html	(from http://localhost/Fotoclick2001/)
21:03:52	10927/10927	---M--	200	added ('OK')	text/css	etag:%222aaf-6190e9c74b5d3%22	http://localhost/Fotoclick2001/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min.css?ver=2.4.0	C:/My%20Web%20Sites/Fotoclick/localhost/Fotoclick2001/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min8d5a.css	(from http://localhost/Fotoclick2001/)
21:03:52	180063/180063	---M--	200	added ('OK')	text/css	etag:%222bf5f-6190e9c73c68e%22	http://localhost/Fotoclick2001/wp-content/themes/oceanwp/assets/css/style.min.css?ver=3.5.6	C:/My%20Web%20Sites/Fotoclick/localhost/Fotoclick2001/wp-content/themes/oceanwp/assets/css/style.min10cb.css	(from http://localhost/Fotoclick2001/)
21:03:54	914/914	---M--	200	added ('OK')	text/css	etag:%22392-6190e9c73fb78%22	http://localhost/Fotoclick2001/wp-content/themes/oceanwp/assets/css/third/hamburgers/hamburgers.min.css?ver=3.5.6	C:/My%20Web%20Sites/Fotoclick/localhost/Fotoclick2001/wp-content/themes/oceanwp/assets/css/third/hamburgers/hamburgers.min10cb.css	(from http://localhost/Fotoclick2001/)
21:03:54	728/728	---M--	200	added ('OK')	text/css	etag:%222d8-6190e9c745b96%22	http://localhost/Fotoclick2001/wp-content/themes/oceanwp/assets/css/third/hamburgers/types/minus.css?ver=3.5.6	C:/My%20Web%20Sites/Fotoclick/localhost/Fotoclick2001/wp-content/themes/oceanwp/assets/css/third/hamburgers/types/minus10cb.css	(from http://localhost/Fotoclick2001/)
21:03:55	16471/16471	---M--	200	added ('OK')	text/css	etag:%224057-6190e9f55852b%22	http://localhost/Fotoclick2001/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/Fotoclick/localhost/Fotoclick2001/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from http://localhost/Fotoclick2001/)
21:03:55	1109/1109	---M--	200	added ('OK')	text/css	etag:%22455-6190f637dcf8e%22	http://localhost/Fotoclick2001/wp-content/uploads/elementor/css/post-646.css?ver=1716403744	C:/My%20Web%20Sites/Fotoclick/localhost/Fotoclick2001/wp-content/uploads/elementor/css/post-646cbe7.css	(from http://localhost/Fotoclick2001/)
21:03:55	20323/20323	---M--	200	added ('OK')	text/css	etag:%224f63-6190f877100b4%22	http://localhost/Fotoclick2001/wp-content/uploads/elementor/css/post-368.css?ver=1716404347	C:/My%20Web%20Sites/Fotoclick/localhost/Fotoclick2001/wp-content/uploads/elementor/css/post-36806d7.css	(from http://localhost/Fotoclick2001/)
